Comment,"Address (associated with ""acct"")",Stake,Status,"VRF identifier (associated with ""sel"")","Ephemeral identifier (associated with ""vote"")","Vote First Valid (associated with ""first"")","Vote Last Valid (associated with ""last"")","Vote Key Dilution (associated with ""voteKD"")"
,OO65J5AIFDS6255WL3AESTUGJD5SUV47RTUDOUGYHEIME327GX7K2BGC6U," 40,000,000 ",NotParticipating,,,,,
,DM6A24ZWHRZRM2HWXUHAUDSAACO7VKEZAOC2THWDXH4DX5L7LSO3VF2OPU," 20,000,000 ",NotParticipating,,,,,
,NTJJSFM75RADUOUGOBHZB7IJGO7NLVBWA66EYOOPU67H7LYIXVSPSI7BTA," 18,099,548 ",NotParticipating,,,,,
,DAV2AWBBW4HBGIL2Z6AAAWDWRJPTOQD6BSKU2CFXZQCOBFEVFEJ632I2LY," 1,000,000 ",NotParticipating,,,,,
,M5VIY6QPSMALVVPVG5LVH35NBMH6XJMXNWKWTARGGTEEQNQ3BHPQGYP5XU," 20,000,000 ",NotParticipating,,,,,
,WZZLVKMCXJG3ICVZSVOVAGCCN755VHJKZWVSVQ6JPSRQ2H2OSPOOZKW6DQ," 45,248,869 ",NotParticipating,,,,,
,XEJLJUZRQOLBHHSOJJUE4IWI3EZOM44P646UDKHS4AV2JW7ZWBWNFGY6BU," 20,000,000 ",NotParticipating,,,,,
,OGIPDCRJJPNVZ6X6NBQHMTEVKJVF74QHZIXVLABMGUKZWNMEH7MNXZIJ7Q," 40,000,000 ",NotParticipating,,,,,
,G47R73USFN6FJJQTI3JMYQXO7F6H4LRPBCTTAD5EZWPWY2WCG64AVPCYG4," 10,000,000 ",NotParticipating,,,,,
,PQ5T65QB564NMIY6HXNYZXTFRSTESUEFIF2C26ZZKIZE6Q4R4XFP5UYYWI," 5,000,000 ",NotParticipating,,,,,
,R6S7TRMZCHNQPKP2PGEEJ6WYUKMTURNMM527ZQXABTHFT5GBVMF6AZAL54," 1,000,000 ",NotParticipating,,,,,
,36LZKCBDUR5EHJ74Q6UWWNADLVJOHGCPBBQ5UTUM3ILRTQLA6RYYU4PUWQ," 5,000,000 ",NotParticipating,,,,,
,JRHPFMSJLU42V75NTGFRQIALCK6RHTEK26QKLWCH2AEEAFNAVEXWDTA5AM," 40,000,000 ",NotParticipating,,,,,
,64VZVS2LFZXWA5W3S657W36LWGP34B7XLMDIF4ROXBTPADD7SR5WNUUYJE," 171,945,701 ",NotParticipating,,,,,
,TXDBSEZPFP2UB6BDNFCHCZBTPONIIQVZGABM4UBRHVAAPR5NE24QBL6H2A," 60,000,000 ",NotParticipating,,,,,
,XI5TYT4XPWUHE4AMDDZCCU6M4AP4CAI4VTCMXXUNS46I36O7IYBQ7SL3D4," 40,000,000 ",NotParticipating,,,,,
,Y6ZPKPXF2QHF6ULYQXVHM7NPI3L76SP6QHJHK7XTNPHNXDEUTJPRKUZBNE," 40,000,000 ",NotParticipating,,,,,
