score,go-algorand struct,go-algorand-sdk struct,go-algorand location,go-algorand-sdk location
1.00,ApplicationStateSchema,ApplicationStateSchema,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/application_state_schema.go
1.00,ApplyData,ApplyData,go-algorand/data/transactions/transaction.go,go-algorand-sdk/types/block.go
1.00,Asset,Asset,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/client/v2/common/models/asset.go
1.00,Asset,Asset,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/asset.go
1.00,Asset,Asset,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/asset.go
1.00,AssetConfigTxnFields,AssetConfigTxnFields,go-algorand/data/transactions/asset.go,go-algorand-sdk/types/transaction.go
1.00,AssetFreezeTxnFields,AssetFreezeTxnFields,go-algorand/data/transactions/asset.go,go-algorand-sdk/types/transaction.go
1.00,AssetHolding,AssetHolding,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/asset_holding.go
1.00,AssetHolding,AssetHolding,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/types/statedelta.go
1.00,AssetHolding,AssetHolding,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/asset_holding.go
1.00,AssetHolding,AssetHolding,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/types/statedelta.go
1.00,AssetHolding,AssetHolding,go-algorand/data/basics/userBalance.go,go-algorand-sdk/types/statedelta.go
1.00,AssetHolding,AssetHolding,go-algorand/data/basics/userBalance.go,go-algorand-sdk/client/v2/common/models/asset_holding.go
1.00,AssetHolding,AssetHolding,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/types/statedelta.go
1.00,AssetHolding,AssetHolding,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/client/v2/common/models/asset_holding.go
1.00,AssetHoldingDelta,AssetHoldingDelta,go-algorand/ledger/ledgercore/statedelta.go,go-algorand-sdk/types/statedelta.go
1.00,AssetParams,AssetParams,go-algorand/data/basics/userBalance.go,go-algorand-sdk/types/asset.go
1.00,AssetParams,AssetParams,go-algorand/data/basics/userBalance.go,go-algorand-sdk/client/v2/common/models/asset_params.go
1.00,AssetParams,AssetParams,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/types/asset.go
1.00,AssetParams,AssetParams,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/types/asset.go
1.00,AssetParams,AssetParams,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/client/v2/common/models/asset_params.go
1.00,AssetParams,AssetParams,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/asset_params.go
1.00,AssetParams,AssetParams,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/asset_params.go
1.00,AssetParams,AssetParams,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/types/asset.go
1.00,AssetParamsDelta,AssetParamsDelta,go-algorand/ledger/ledgercore/statedelta.go,go-algorand-sdk/types/statedelta.go
1.00,AssetResourceRecord,AssetResourceRecord,go-algorand/ledger/ledgercore/statedelta.go,go-algorand-sdk/types/statedelta.go
1.00,AssetTransferTxnFields,AssetTransferTxnFields,go-algorand/data/transactions/asset.go,go-algorand-sdk/types/transaction.go
1.00,AssetsResponse,AssetsResponse,go-algorand/daemon/algod/api/server/v1/handlers/responses.go,go-algorand-sdk/client/v2/common/models/assets_response.go
1.00,BalanceRecord,BalanceRecord,go-algorand/data/basics/userBalance.go,go-algorand-sdk/types/statedelta.go
1.00,BalanceRecord,BalanceRecord,go-algorand/data/committee/committee.go,go-algorand-sdk/types/statedelta.go
1.00,Block,Block,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/client/v2/common/models/block.go
1.00,Block,Block,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/client/v2/algod/getBlock.go
1.00,Block,Block,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/types/block.go
1.00,Block,Block,go-algorand/data/bookkeeping/block.go,go-algorand-sdk/types/block.go
1.00,Block,Block,go-algorand/data/bookkeeping/block.go,go-algorand-sdk/client/v2/common/models/block.go
1.00,Block,Block,go-algorand/data/bookkeeping/block.go,go-algorand-sdk/client/v2/algod/getBlock.go
1.00,BlockHeader,BlockHeader,go-algorand/data/bookkeeping/block.go,go-algorand-sdk/types/block.go
1.00,BlockResponse,BlockResponse,go-algorand/daemon/algod/api/server/v1/handlers/responses.go,go-algorand-sdk/client/v2/common/models/block_response.go
1.00,BlockResponse,BlockResponse,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/block_response.go
1.00,BlockResponse,BlockResponse,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/block_response.go
1.00,BuildVersion,BuildVersion,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/build_version.go
1.00,BuildVersion,BuildVersion,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/build_version.go
1.00,BuildVersion,BuildVersion,go-algorand/daemon/algod/api/spec/common/model.go,go-algorand-sdk/client/v2/common/models/build_version.go
1.00,Client,Client,go-algorand/libgoal/libgoal.go,go-algorand-sdk/client/v2/common/common.go
1.00,Client,Client,go-algorand/libgoal/libgoal.go,go-algorand-sdk/client/kmd/kmd.go
1.00,CompileResponse,CompileResponse,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/compile_response.go
1.00,CompileResponse,CompileResponse,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/compile_response.go
1.00,DisassembleResponse,DisassembleResponse,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/disassemble_response.go
