score,go-algorand struct,go-algorand-sdk struct,go-algorand location,go-algorand-sdk location
1.00,TxGroup,TxGroup,go-algorand/data/transactions/transaction.go,go-algorand-sdk/types/transaction.go
1.00,Txlease,Txlease,go-algorand/ledger/ledgercore/statedelta.go,go-algorand-sdk/types/statedelta.go
1.00,TxnCommitments,TxnCommitments,go-algorand/data/bookkeeping/block.go,go-algorand-sdk/types/block.go
1.00,UpgradeState,UpgradeState,go-algorand/data/bookkeeping/block.go,go-algorand-sdk/types/block.go
1.00,UpgradeState,UpgradeState,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/types/block.go
1.00,UpgradeVote,UpgradeVote,go-algorand/data/bookkeeping/block.go,go-algorand-sdk/types/block.go
1.00,UpgradeVote,UpgradeVote,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/types/block.go
1.00,ValueDelta,ValueDelta,go-algorand/data/basics/teal.go,go-algorand-sdk/types/block.go
1.00,Verifier,Verifier,go-algorand/crypto/merklesignature/merkleSignatureScheme.go,go-algorand-sdk/types/stateproof.go
1.00,Verifier,Verifier,go-algorand/crypto/stateproof/verifier.go,go-algorand-sdk/types/stateproof.go
1.00,Version,Version,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/version.go
1.00,Version,Version,go-algorand/daemon/algod/api/spec/common/model.go,go-algorand-sdk/client/v2/common/models/version.go
1.00,Version,Version,go-algorand/config/version.go,go-algorand-sdk/client/v2/common/models/version.go
1.00,Version,Version,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/version.go
1.00,VersionsRequest,VersionsRequest,go-algorand/daemon/kmd/lib/kmdapi/requests.go,go-algorand-sdk/client/kmd/requests.go
1.00,VersionsResponse,VersionsResponse,go-algorand/daemon/kmd/lib/kmdapi/responses.go,go-algorand-sdk/client/kmd/responses.go
1.00,VersionsResponse,VersionsResponse,go-algorand/daemon/algod/api/server/common/responses.go,go-algorand-sdk/client/kmd/responses.go
1.00,VotingData,VotingData,go-algorand/ledger/ledgercore/accountdata.go,go-algorand-sdk/types/statedelta.go
1.00,VotingData,VotingData,go-algorand/data/basics/userBalance.go,go-algorand-sdk/types/statedelta.go
1.00,fields,fields,go-algorand/agreement/proposalStore_test.go,go-algorand-sdk/types/genesis_test.go
1.00,fields,fields,go-algorand/agreement/proposalStore_test.go,go-algorand-sdk/types/genesis_test.go
1.00,fields,fields,go-algorand/node/node_test.go,go-algorand-sdk/types/genesis_test.go
1.00,fields,fields,go-algorand/data/bookkeeping/genesis_test.go,go-algorand-sdk/types/genesis_test.go
1.00,fields,fields,go-algorand/config/config_test.go,go-algorand-sdk/types/genesis_test.go
1.00,fields,fields,go-algorand/agreement/proposalStore_test.go,go-algorand-sdk/types/genesis_test.go
1.00,fields,fields,go-algorand/agreement/proposalStore_test.go,go-algorand-sdk/types/genesis_test.go
1.00,fields,fields,go-algorand/agreement/proposalStore_test.go,go-algorand-sdk/types/genesis_test.go
1.00,fields,fields,go-algorand/agreement/proposalStore_test.go,go-algorand-sdk/types/genesis_test.go
1.00,fields,fields,go-algorand/config/config_test.go,go-algorand-sdk/types/genesis_test.go
1.00,sigslotCommit,sigslotCommit,go-algorand/crypto/stateproof/structs.go,go-algorand-sdk/types/stateproof.go
0.00,APIV1DELETEKeyRequest,PendingTransactionInformation,go-algorand/daemon/kmd/lib/kmdapi/requests.go,go-algorand-sdk/client/v2/algod/pendingTransactionInformation.go
0.00,APIV1DELETEKeyRequest,SendRawTransaction,go-algorand/daemon/kmd/lib/kmdapi/requests.go,go-algorand-sdk/client/v2/algod/rawTransaction.go
0.00,APIV1DELETEKeyRequest,SetSyncRound,go-algorand/daemon/kmd/lib/kmdapi/requests.go,go-algorand-sdk/client/v2/algod/setSyncRound.go
0.00,APIV1DELETEKeyRequest,SignMultisigTransactionRequest,go-algorand/daemon/kmd/lib/kmdapi/requests.go,go-algorand-sdk/client/kmd/requests.go
0.00,APIV1DELETEKeyRequest,SignMultisigTransactionResponse,go-algorand/daemon/kmd/lib/kmdapi/requests.go,go-algorand-sdk/client/kmd/responses.go
0.00,APIV1DELETEKeyRequest,SignTransactionRequest,go-algorand/daemon/kmd/lib/kmdapi/requests.go,go-algorand-sdk/client/kmd/requests.go
0.00,APIV1DELETEKeyRequest,SignTransactionResponse,go-algorand/daemon/kmd/lib/kmdapi/requests.go,go-algorand-sdk/client/kmd/responses.go
0.00,APIV1DELETEKeyRequest,SignedBid,go-algorand/daemon/kmd/lib/kmdapi/requests.go,go-algorand-sdk/types/auction.go
0.00,APIV1DELETEKeyRequest,SignedTxn,go-algorand/daemon/kmd/lib/kmdapi/requests.go,go-algorand-sdk/types/transaction.go
0.00,APIV1DELETEKeyRequest,SignedTxnInBlock,go-algorand/daemon/kmd/lib/kmdapi/requests.go,go-algorand-sdk/types/block.go
0.00,APIV1DELETEKeyRequest,SignedTxnWithAD,go-algorand/daemon/kmd/lib/kmdapi/requests.go,go-algorand-sdk/types/block.go
0.00,APIV1DELETEKeyRequest,SingleLeafProof,go-algorand/daemon/kmd/lib/kmdapi/requests.go,go-algorand-sdk/types/stateproof.go
